"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Ohio"	"39"	24	373706	6.4
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Pennsylvania"	"42"	21	421786	5.0
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Tennessee"	"47"	10	199164	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Texas"	"48"	26	711608	3.7
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Virginia"	"51"	15	244873	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Washington"	"53"	13	224570	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"California"	"06"	46	1071926	4.3
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Florida"	"12"	38	627381	6.1
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Idaho"	"16"	11	50619	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Iowa"	"19"	11	99633	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Missouri"	"29"	16	187714	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Oklahoma"	"40"	16	112837	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Oregon"	"41"	11	131528	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Texas"	"48"	10	711608	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Virginia"	"51"	17	244873	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Washington"	"53"	28	224570	12.5
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Wisconsin"	"55"	19	191153	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of thorax, part unspecified"	"S21.9"	"California"	"06"	10	1071926	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"California"	"06"	27	1071926	2.5
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"Florida"	"12"	41	627381	6.5
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"Iowa"	"19"	12	99633	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"Missouri"	"29"	18	187714	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"Oklahoma"	"40"	18	112837	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"Virginia"	"51"	17	244873	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"Washington"	"53"	25	224570	11.1
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"Wisconsin"	"55"	15	191153	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Alabama"	"01"	13	147832	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"California"	"06"	59	1071926	5.5
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Colorado"	"08"	10	163855	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Florida"	"12"	41	627381	6.5
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Idaho"	"16"	13	50619	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Iowa"	"19"	12	99633	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Missouri"	"29"	22	187714	11.7
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"North Carolina"	"37"	11	296040	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Oklahoma"	"40"	19	112837	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Oregon"	"41"	15	131528	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Texas"	"48"	13	711608	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Virginia"	"51"	22	244873	9.0
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Washington"	"53"	37	224570	16.5
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Wisconsin"	"55"	23	191153	12.0
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Open wound of head, part unspecified"	"S01.9"	"California"	"06"	17	1071926	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Open wound of unspecified body region"	"T14.1"	"Florida"	"12"	12	627381	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Open wound of unspecified body region"	"T14.1"	"Michigan"	"26"	12	325289	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Open wound of unspecified body region"	"T14.1"	"New York"	"36"	10	581933	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"California"	"06"	18	1071926	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Florida"	"12"	13	627381	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Michigan"	"26"	17	325289	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Missouri"	"29"	11	187714	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"New York"	"36"	12	581933	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"North Carolina"	"37"	11	296040	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Texas"	"48"	14	711608	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Wisconsin"	"55"	11	191153	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Alabama"	"01"	18	147832	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Arizona"	"04"	32	192558	16.6
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Arkansas"	"05"	19	87355	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"California"	"06"	45	1071926	4.2
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Colorado"	"08"	19	163855	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Florida"	"12"	72	627381	11.5
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Georgia"	"13"	32	276471	11.6
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Illinois"	"17"	23	378039	6.1
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Indiana"	"18"	20	201138	9.9
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Kansas"	"20"	12	87823	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Louisiana"	"22"	17	138123	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Maryland"	"24"	16	175796	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Michigan"	"26"	27	325289	8.3
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Missouri"	"29"	23	187714	12.3
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"New York"	"36"	18	581933	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"North Carolina"	"37"	20	296040	6.8
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Ohio"	"39"	34	373706	9.1
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Pennsylvania"	"42"	42	421786	10.0
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"South Carolina"	"45"	27	150991	17.9
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Tennessee"	"47"	25	199164	12.6
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Texas"	"48"	109	711608	15.3
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Virginia"	"51"	11	244873	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Washington"	"53"	11	224570	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of thorax, part unspecified"	"S21.9"	"Pennsylvania"	"42"	10	421786	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of thorax, part unspecified"	"S21.9"	"Texas"	"48"	13	711608	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Arizona"	"04"	33	192558	17.1
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"California"	"06"	25	1071926	2.3
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Colorado"	"08"	14	163855	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Florida"	"12"	83	627381	13.2
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Georgia"	"13"	23	276471	8.3
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Illinois"	"17"	13	378039	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Indiana"	"18"	11	201138	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Louisiana"	"22"	11	138123	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Maryland"	"24"	20	175796	11.4
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Michigan"	"26"	19	325289	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Missouri"	"29"	18	187714	Unreliable
	"60-64 years "	"60-64"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Nevada"	"32"	11	86301	Unreliable
